najvisji_tecaj,odpiralni_tecaj,najnizji_tecaj,uradni_tecaj,datum
101.00,101.00,101.00,101.00,22.07.2016
-,-,-,101.00,25.07.2016
-,-,-,101.00,26.07.2016
-,-,-,101.00,27.07.2016
-,-,-,101.00,28.07.2016
101.50,101.50,101.50,101.50,29.07.2016
